Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ECR,Chrome 67.0.3396.87,,2018-07-06 15:25:28,2018-07-09 07:38:42,64h - 13m - 14.044s,ERROR
,,,,,,
Test Cases/ECR/TestCases/ECR_Create_Approve_DataDriven,Chrome 67.0.3396.87,,2018-07-06 15:25:28,2018-07-09 07:38:38,64h - 13m - 9.279s,ERROR
com.helper.commonfunct.commonutilities.login,Chrome 67.0.3396.87,,2018-07-06 15:25:30,2018-07-06 15:26:18,47.409s,PASSED
com.helper.commonfunct.commonutilities.CreateECR,Chrome 67.0.3396.87,,2018-07-06 15:26:18,2018-07-06 15:35:27,9m - 9.317s,PASSED
com.helper.commonfunct.commonutilities.searchStatus,Chrome 67.0.3396.87,,2018-07-06 15:35:27,2018-07-06 15:36:07,40.264s,PASSED
"Statement - While (WOSTATUS.contains(""PENDING"") && AssignmentList.size() > 0)",Chrome 67.0.3396.87,,2018-07-06 15:36:07,2018-07-09 07:38:38,64h - 2m - 30.251s,ERROR
