Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ECR,Chrome 67.0.3396.87,,2018-07-06 13:43:57,2018-07-06 14:12:04,28m - 7.379s,FAILED
,,,,,,
Test Cases/ECR/TestCases/ECR_Create_Approve_DataDriven,Chrome 67.0.3396.87,,2018-07-06 13:43:58,2018-07-06 14:12:00,28m - 2.078s,FAILED
com.helper.commonfunct.commonutilities.login,Chrome 67.0.3396.87,,2018-07-06 13:44:00,2018-07-06 13:44:50,49.931s,PASSED
com.helper.commonfunct.commonutilities.CreateECR,Chrome 67.0.3396.87,,2018-07-06 13:44:50,2018-07-06 13:54:04,9m - 13.880s,PASSED
com.helper.commonfunct.commonutilities.searchStatus,Chrome 67.0.3396.87,,2018-07-06 13:54:04,2018-07-06 13:54:44,40.314s,PASSED
"Statement - While (WOSTATUS.contains(""PENDING"") && AssignmentList.size() > 0)",Chrome 67.0.3396.87,,2018-07-06 13:54:44,2018-07-06 14:12:00,17m - 15.778s,FAILED
